Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Type_L,Type_M,Machine failure
345.69,357.19,1682.4499999999998,52.324999999999996,225.39999999999998,0,0,0,0,0,False,True,1
345.575,357.075,1798.6,43.93,228.85,0,0,0,0,0,True,False,0
345.575,357.19,1622.6499999999999,54.28,231.14999999999998,0,0,0,0,0,False,False,0
345.575,357.19,1770.9999999999998,53.705,236.89999999999998,0,0,0,0,0,True,False,0
345.575,357.19,2242.5,23.345,239.2,0,0,0,0,0,True,False,0
345.69,357.30499999999995,1539.85,60.834999999999994,0.0,0,0,0,0,0,False,True,0
345.69,357.19,1631.85,45.54,3.4499999999999997,0,0,0,0,0,False,False,0
345.575,357.19,1723.85,51.98,9.2,0,0,0,0,0,True,False,1
345.575,357.19,1573.1999999999998,57.04,11.5,0,0,0,0,0,True,False,0
345.575,357.075,1766.3999999999999,41.63,13.799999999999999,0,0,0,0,0,True,False,0
345.575,357.075,1689.35,49.334999999999994,16.099999999999998,0,0,0,0,0,False,True,0
345.575,357.075,3027.95,14.029999999999998,19.549999999999997,0,0,1,0,0,True,False,1
345.4599999999999,356.9599999999999,1492.6999999999998,70.61,21.849999999999998,0,0,0,0,0,True,False,0
345.4599999999999,356.9599999999999,1775.6,41.74499999999999,24.15,0,0,0,0,0,False,True,0
345.575,357.075,1613.4499999999998,54.855,27.599999999999998,0,0,0,0,0,False,False,1
345.575,357.075,1669.8,49.334999999999994,33.349999999999994,0,0,0,0,0,True,False,0
345.69,357.075,1735.35,49.565,35.65,0,0,0,0,0,True,False,0
345.80499999999995,357.19,1695.1,42.55,37.949999999999996,0,0,0,0,0,False,True,0
345.80499999999995,357.30499999999995,1583.55,53.705,41.4,0,0,0,0,0,False,True,0
345.91999999999996,357.41999999999996,2002.1499999999999,31.165,44.849999999999994,0,0,0,0,0,True,False,0
345.91999999999996,357.41999999999996,1678.9999999999998,61.86999999999999,47.15,0,0,0,0,0,True,False,0
345.80499999999995,357.19,1875.6499999999999,37.49,49.449999999999996,0,0,0,0,0,False,False,0
345.80499999999995,357.075,1795.1499999999999,38.18,55.199999999999996,0,0,0,0,0,True,False,0
345.80499999999995,357.19,1807.8,44.275,57.49999999999999,0,0,0,0,0,False,True,0
345.69,357.19,2446.0499999999997,21.505,60.949999999999996,0,0,0,0,0,True,False,0
345.69,357.19,1665.1999999999998,51.405,63.24999999999999,0,0,0,0,0,False,False,0
345.69,357.30499999999995,1774.4499999999998,45.54,69.0,0,0,0,0,0,True,False,0
345.69,357.19,1734.1999999999998,40.019999999999996,71.3,0,0,0,0,0,True,False,0
345.69,357.19,1613.4499999999998,57.959999999999994,73.6,0,0,0,0,0,False,True,0
345.69,357.19,1672.1,45.655,77.05,0,0,0,0,0,True,False,1
345.80499999999995,357.41999999999996,2037.8,31.395,79.35,0,0,0,0,0,True,False,1
345.80499999999995,357.41999999999996,1700.85,56.464999999999996,81.64999999999999,0,0,0,0,0,True,False,0
